Username,Rating,Isi Ulasan,Waktu Ulasan
laila iskandar,4 bintang,"Sama dgn titik NOL, bbrp kali ke yogya baru sekali ini jalan kaki, duduk dan foto2..
Bangunan2 tua yg terawat ditambah cafe2 modern menambah estetiknya yogya,, gak ada bosan2nya spt ke pulau dewata",7 bulan lalu
Silvi Nafilah,5 bintang,tebak jam berapa bisa dapet view tugu pas sepi gini?,sebulan lalu
Imam Harso,5 bintang,"Ikon kota Yogyakarta yang wajib dikunjungi!
Lokasinya strategis di pusat kota, dekat dengan Malioboro dan stasiun. Cocok banget buat foto-foto,
Suasananya ramai tapi tetap nyaman, banyak pedagang makanan khas Jogja di sekitar seperti angkringan dan kopi joss. Area pejalan kaki juga cukup tertata sekarang.
Bukan cuma tempat wisata tapi juga bagian dari budaya Jogja.
Kalau ke Jogja, belum sah kalau belum mampir ke sini!",Diedit 8 bulan lalu
Dea Rahma Diana,5 bintang,gaa lengkap kalo ke Jogja ga foto di tugu iconic Yogyakarta ✨,sebulan lalu
Amel,5 bintang,"jalan kaki di tugu jogja sekitar jam 3 pagi. suasananya enak buat sekedar duduk dan lihat kendaraan-kendaraan lewat. atau kadang lihat anak-anak motor buat cinematic. kalau pembaca berniat pergi sendirian, itu aman banget kok. karna aku juga beberapa kali jalan kaki sendiri di sekitar tugu, untuk ngopi.",6 bulan lalu
Pingkan Shela,5 bintang,"Ikoniknya jogja nihh. Ada cafe& cofee shop yg view tugu jogja, yg mau cri oleh"" Juga banyak disini.",sebulan lalu
Gede Blegun,5 bintang,"Selalu seneng lewat tugu jogja. Tugu jogja iKON bersejarah yang indah. Cocok untuk photo malam hari, suasana khas jogja kuat banget. Ramai tapi tetep menarik. Jogja istimewa ❤",2 bulan lalu
Meisya Dhina Aqela,5 bintang,"Tugu Yogyakarta selalu punya daya tarik sendiri, apalagi sekarang ada spot fotobox yang aesthetic dengan latar belakang tugu yang ikonik. Hasil fotonya cantik, pencahayaannya pas, dan vibe-nya benar-benar Yogyakarta banget.
Tempat ini cocok untuk mengabadikan momen, baik siang maupun malam, karena suasananya selalu hidup dan penuh warna.
Singkatnya, spot yang wajib dicoba kalau lagi main ke Tugu Yogya, Recommend sih spot photobox nya😍⭐️.",3 bulan lalu
Rahmad,5 bintang,"Tugu legendaris nya jogjakarta
Sempetin lewat sini malem²
Kalau dari Malioboro biasanya ada jasa becak yang nawarin jalan² sambil muter ke tugu sini",6 bulan lalu
Math Freak,5 bintang,Bagusnya pas Malem kalo kesini biar ga panas,sebulan lalu
