Username,Rating,Isi Ulasan,Waktu Ulasan
Sallma Zlvia,5 bintang,"kalo udh ke jogja , rasanya ga pengen balek kerumah. warga ny ramah baik juga, apalgi nginap di deket malioboro pengen bikin rumah disitu wkw",setahun lalu
satria adi,5 bintang,Ramai ketika weekend terutama malam hari,7 bulan lalu
Skateboard 8 SIX,5 bintang,"Cukup sangat berubah suasana di tugu Jogja. setelah yang kesekian kalinya mengunjungi.
Angkringan kopi jos sudah tersedia di sepanjang jl Mangkubumi.",3 tahun lalu
febri handayani,5 bintang,Iconnya Jogya hampir tiap bln tugas negara ke kota gudeg ini tp ga pernah bosan klo nongkrong disini 😁🫰 …,2 tahun lalu
Yapto Harkatianto,4 bintang,"Tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari Kota Yogyakarta. Tugu yang terletak di perempatan Jalan Jenderal Sudirman dan Jalan Margo Utomo ini, mempunyai nilai simbolis yang merupakan garis yang bersifat magis …",2 tahun lalu
Ahmad Syeh,5 bintang,"Tugu ini icon jogjakarta, blm afdol klo ke jogja blm berkunjung ke tugu ni. D tugu selalu ramai orang besua foto.",2 tahun lalu
Zam B Angga W,5 bintang,"Salah satu ikon di Kota Yogyakarta, Tugu Jogja.

Sekarang tidak bisa foto-foto dengan jarak yang dekat. Poin plusnya, jadi tertata saja. Tidak menimbulkan kemacetan. 👍🏻👍🏻👍🏻👍🏻

Terdapat banyak cafe disekitaran Tugu, ada angkringan juga, dan warung-warung makan.

Sekian,
Terimakasih.",3 tahun lalu
Yunia Windawati,5 bintang,"Tempat asik buat nongkrong, menu makan banyak buangettt enaakk semua... ada nasi kulit, nasi telur... indomie topping dan indomie di masak dengan aneka macam ada ramen ada indomie kulite juga... cocok buat ngumpul rame"" , tempat duduk banyak dan suasana pinggir kali kedung putri bikin tambah syahdu... kopi nya juga mantepppp 👍🏽👍🏽👍🏽 …",2 tahun lalu
Ganbatte Qudasae,4 bintang,"Bg yg berkunjung ke kota Jogjakarta Hadiningrat tugu monumen Jogja kembali mrpkn salah 1 destinasi wisata pilihan pengunjung krna ini slh 1 icon kota Jogja itu sendiri, kalian dapat berswafoto disini, disarankan sore saja klw kesini mengingat banyak pengunjung & lalu lintas yg terlalu padat 👍 …",6 tahun lalu
Deni Wibowo,5 bintang,"Tempat wisata yg tidak perlu mengeluarkan uang sama sekali
Kota yg bersih dari sampah
Penduduknya yg ramah-ramah
Bikin betah di kota Jogja 😁",4 tahun lalu
Riff FAD,5 bintang,"Tugu Jogja bukan sekadar monumen, tapi penanda rindu yang berdiri tegak di tengah denyut Yogyakarta",7 bulan lalu
Meita,5 bintang,"Tempat Yang selalu ingin dikunjungi oleh warga lokal ataupun turis lokal ketika di Jogjakarta. Banyak pertunjukan art ketika akhir pekan, ataupun sekedar duduk-duduk menikmati area tersebut. Banyak cafe ataupun angkringan di area tersebut. Wajin ke sini Kalo ke Jogja.",2 tahun lalu
Bedi Abdul Rohman,5 bintang,Icon jogja yang juga tak pernah sepi pengunjung. Apalagi sudah ada tempat utk pengunjung yang sekadar ingin duduk2 menikmati lalu lalang kendaraan yang melintas atau hanya numpang foto saja. Mayoritas yang berfoto disana tentu kaum milenial yang berburu foto hits untuk feed instagramnya. Biaya yg dikeluarkan hanya parkir motor sebesar 3k,6 tahun lalu
Diki Gilng,4 bintang,Sangat senang karna saya sambil jalan kaki. Bisa sambil liat kanan kiri .,sebulan lalu
Siva Alesha,5 bintang,Sejuk dan bagus sekali menikmati suasana pagi yg sejuk di kota Jogja,setahun lalu
Amiruz Zamroni,5 bintang,"Jogja selalu istimewa, salah satu destinasi ikonik yaa tugu jogja, letaknya sebenarnya lurus dengan Malioboro, klo jalan kaki bisa sebenarnya
Klo naik kendaraan busa muter2 dulu",5 tahun lalu
Dimas Ardian,5 bintang,"Kurang lengkap rasanya jika tidak berkunjung ke tempat iconik yang ada di Yogyakarta ini. Karena tugu ini menyimpan banyak sekali sejarah dari zaman dahulu hingga saat ini, dan keberadaannya sanga dirawat dengan baik.",3 tahun lalu
ferry tri,5 bintang,"Tahun baruan disini. Seru dan rame, main ke pasar kranggan. Liburan yg menyenangkan 😊",2 tahun lalu
Edelweis Fozrw,5 bintang,"Sangat amat menyenangkan, kota yang hangat, kota yg bnyk kenangannya, ramai apabila weekend dan ada festival.

Tetap berhati-hati waktu berkendara
Tetap patuhi, saling menjaga fasilitas yaa, dan jangan buang smph sbrngan 🤗",2 tahun lalu
BENNY Iskandar,5 bintang,"Tugu sbg identitas, sayangnya dipagar pada masa pandemi
Maket poros keraton, tugu dan merapi jg dipagar sehingga edukasi sejarah kurang dapat dinikmati",5 tahun lalu
Talisepatumu “Yanwar Abdullah”,5 bintang,"Sejarah Tugu Jogja. Tugu Jogja dibangun pada tahun 1755 oleh Sri Sultan Hamangku Buwono I, pendiri keraton Yogyakarta. Tugu memiliki nilai simbolis dan merupakan garis yang bersifat magis karena menghubungkan Laut Selatan, Keraton Yogyakarta, dan Gunung Merapi.

Akhirnya tahu tugu jogja 😁

Selamat berkunjung
Semoga bermanfaat",2 tahun lalu
haidita bella marisca,5 bintang,"Ikonik... Di bagian selatan ada museum terbuka nan gratis terkait Tugu Golong Gilig Jogja, buat yang berwisata ke Jogja bisa belajar sekalian swafoto disini, ada banyak jasa foto juga dengan hasil yang memuaskan tapi harganya murah banget 5rb an aja per foto.",Diedit setahun lalu
Destri Rahmawati,5 bintang,"Masih asik suasananya untuk dinikmati sambil nongkrong sama temen.
Tapi dengan tren scooter yang lagi hype ini suka buat khawatir. Kita yg pejalan kaki suka waswas takut ketabrak scooter, kadang juga dibuat waswas takut pengendara scooter nya ketabraj pengendara lain.",4 tahun lalu
Rahman_3G4,5 bintang,Di tugu pal putih Djogjakarta ini akan selalu ku kenang dengan adat dan budaya serta keramahan warganya.,setahun lalu
Quin Cake Cianjur,5 bintang,Suasana yang akan selalu di kangenin tempat yang nyaman maksnan enak parkiran luas view yang luar biasa entah brp kali ke kota ini tp selalu rindu dan ada sesuatubyang baru di jogja,2 tahun lalu
Zainuddin jhey,5 bintang,Selalu ada cerita baru. Jogya yang bersahaja,4 bulan lalu
Theresia Rika,5 bintang,"malem minggu kenapa lampunya mati?
asik sih skr buat tempat nongkrong gt sama maen skuter.harga murah lho utk sewa skuternya...abis skuteran bisa lgs berjos² di angkringan.solusi pikenik tipis2 yg murah meriah",3 tahun lalu
Yulia P,5 bintang,"iconic banget, waktu pergantian tahun kmren juga jadi pusat liat kembang api 👍🏻 tapi setelah selesai banyak banget sampah dari orang"" yg gamau buang sampah di tempatnya atau sekedar dipinggirin gitu",2 tahun lalu
Faidatun Nadiroh (Fay),5 bintang,"Selalu menjadi tempat yg nyaman untuk menikmati malam Jogja. Sayangnya, pagar oren masih ada, agak ngurangi estetika Tugu.",3 tahun lalu
Iffa Nurul Zakia,5 bintang,"Salah satu ikon populer saat anda berada di Jogja, untuk pengambilan poto yang bagus lebih baik ambil momen pas lampu merah ketika tidak banyak motor dan mobil berlalu lalang.",setahun lalu
Febryanto,5 bintang,Salah satu titik ikonik Jogja yang harus di datangi. Selalu istimewa vibesnya.,Diedit setahun lalu
Rheni TriPujiastuti,4 bintang,Lokasi langganan kalau nganter kawan yang datang dari luar Jogja.. mampir sekalian nyruput susu Jahe depan KR (Kedaulatan Rakyat).. …,3 tahun lalu
Imam Priyadi,5 bintang,Enak duduk duduk malam hari sambil ngopi.,4 bulan lalu
linda priyana,5 bintang,"Tugu yg berada ditengah kota. Nyaman untuk duduk sore, dan disekitaran banyak makanan2.",setahun lalu
Linggar Maretva Cendani,4 bintang,"Sangat ramai ketika siang hari, selain itu juga panas, disarankan datang saat pagi hari, karena jalan lebih lengang dan bisa bebas untuk foto-foto, selain itu suasana jg lebih sejuk",3 tahun lalu
Julian Adhy,5 bintang,"Tempat iconic di kota Jogja, agak sedikit padat jika ingin menikmati suasana di daerah Malioboro & tugu Jogja sore sampai dengan malam lebih terasa, parkir ada tempat parkir dikelola swasta/ masyarakat sekitar bayar Rp.20.000",2 tahun lalu
Suryadi van Batavia,5 bintang,Tugu golong gilig ini makin kelihatan cantik. Kabel-kabel listrik yang berseliweran dalam radius sekian puluh meter sudah dibenahi. Jadi foto-foto yang dihasilkan kini lebih rapi.,3 tahun lalu
ꦱꦸꦒꦶꦃꦧꦤ꧀ꦝꦭꦤ꧀ꦝꦸꦚ,5 bintang,"Kamu yang cantik tetap istimewa seperti Jogjakarta. . .
.
. …",6 tahun lalu
Ecko Siswanto,5 bintang,"Sebenarnya ini hanya tugu biasa tapi sangat ikonik jadi wajib untuk para traveler seperti saya untuk mengabadikan momen di tugu jogja ini yang mengarah lurus ke Malioboro, alun-alun, dan juga Keraton Yogyakarta.",3 tahun lalu
Yudhi Aliwiyanto,4 bintang,"Salah satu icon di kota jogja yang harus dikunjungi, minimal photo stop. Rekomen kesini tanpa kendaraan bermotor. Ada selasar yang menjelaskan sejarah tugu juga. Menarik untuk diketahui.",3 tahun lalu
Sylvanio De Navalle,5 bintang,"Salah satu momumen di yogyakarta yang wajib dikunjungi yaitu tugu yogyakata, dimana tugu yang memiliki ciri khas tersendiri dibanding tugu-tugu lain yang ada di yogyakarta, namun di tengah tengah keindahanya terdapat beberapa kekurangan …",4 tahun lalu
Badar FM,4 bintang,di sekitar tugu itu banyak yang jual angkringan cuman ada momen di mana salah satu angkringan itu gorengannya tersembunyi kecoa yang sedang hidup bayangkan teman-teman,3 tahun lalu
Reza Ulhaq,5 bintang,"Datang weekdays, parkiran mobil bisa disamping jalan, di dekatnya ada pasar, banyak jajanan di pagi hari",5 bulan lalu
Oyikk,4 bintang,"Satu ikon garis imajiner Jogjakarta yang tiap tahun mengalami perubahan di sekitarnya. Entah kenapa begitu galau sehingga berganti melulu hiasannya. Ya, cukup tahu lah ya?",Diedit setahun lalu
Syauban Anas,5 bintang,"Ikon kota jogja, salah satu spot foto yang wajib dikunjungi jika sedang berkunjung ke kota jogja. …",7 tahun lalu
U_Iqbal,5 bintang,kalau disini jangan hari liburan karena akan selalu ramai,11 bulan lalu
Dewi Rafi,5 bintang,"Alhamdulillah lewat jalan di akhir pekan menuju Dowa Mangkubumi,",6 bulan lalu
Nur B,4 bintang,"Selalu menjadi spot paling ikonik dijogja.
Free, cuman tetap harus hati2 ya.. Soalnya ditengah jalan ramai.
Demi eksis jan abai keselamatan",Diedit 3 tahun lalu
umi maryatun,5 bintang,"Tugu Jogja, sering disebut juga tugu putih, disebut juga monumen golong-gilig. Bangunan ikonik yang menjadi  ciri khas kota Yogyakarta. Terletak di perempatan jalan Sudirman. Catnya putih bersih dan ornamennya yang cantik, akan terlihat …",3 tahun lalu
Mislan Ellan,5 bintang,Tugu Jogja adalah tempat bersejarah yg sangat perlu untuk dikunjungi bagi wisatawan yg datang ke Jogja sangat menarik untuk dokumentasi pribadi....,setahun lalu
Sukarni Aufi Arlyana D,5 bintang,"Ikon kota jogja, ramai wisatawan baik lokal maupun mancanegara. Banyak jajanan disepanjang jalan tugu golog gilig",setahun lalu
Putri Widya Afrianti,4 bintang,"Kafe sekitara tugu selalu Ramai, ada kang foto berbayar 1 foto 5k",2 tahun lalu
Muhammad Bagus Aditya,5 bintang,"Iconic spot at Yogyakarta, tugu bersejarah, menjadi icon kota Jogja, ramai dikunjungi turis siang dan malam",5 tahun lalu
Team Pixel,4 bintang,"Sejarah Tugu Jogja. Tugu Jogja dibangun pada tahun 1755 oleh Sri Sultan Hamangku Buwono I, pendiri keraton Yogyakarta. …",3 tahun lalu
sumaryati yati,5 bintang,Mengingatkan masa kecil di Yogya Krn dekat rmh..selalu terkenang Krn setiap hari moment sll ada di tugu Yogya..,3 bulan lalu
"Dokter Koper, Jahit Permak, Tas Jogja (Abdul)",5 bintang,"Tugu Yogyakarta atau Tugu Pal Putih dibangun pada tahun 1755 oleh Sultan Hamengkubuwono I. Tugu ini dibangun sebagai simbol persatuan untuk melawan penjajahan Belanda.

SEJARAH Tugu Yogya :
Awalnya bernama Tugu Golong Gilig.yang dibangun dengan tiang berbentuk silinder (gilig) dan puncaknya berbentuk bulat (golong).
Masyarakat tetap menyebutnya sebagai Tugu Jogja karena menjadi simbol kuat kota.
Makna Tugu Jogja
Tugu Jogja merupakan simbol persatuan antara rakyat dan penguasa.
Tugu Jogja merupakan penghubung spiritual antara Gunung Merapi, Keraton Yogyakarta, dan Pantai Selatan.
Tugu Jogja merupakan patokan arah saat Sri Sultan Hamengkubuwono I melakukan meditasi.",setahun lalu
Kak Wang,5 bintang,Dekat pasar Kranggan jadi sekalian aja cari sarapan di sini.,9 bulan lalu
Andry Alvin,5 bintang,Tempat bagus buat Foto dan menikmati Kota Yogya,seminggu lalu
Arya Anggara official,5 bintang,"Tugu Jogja adalah tempat bersejarah, sering dijadikan tempat untuk bertemu kawan-kawan. Kadang-kadang juga ada orang terkenal yang datang kesini untuk berfoto maupun Shooting Sinetron atau Film",2 tahun lalu
Arif Prabowo,5 bintang,"Tugu Iconic Yogyakarta, tempat asyil menikmati sore di kafe2 sekitar tugu, sambil melihat lalu lalang kendaraan..

Sudah direnovasi kadi makin cantik buat spot fhoto",setahun lalu
Citra Larasati YaFi,5 bintang,"Sangat indah pada petang dan malam hari. Sudah dibenahi oleh pemerintah Jogja. Diberi hiasan lampu-lampu kuning di pinggir-pinggir jalan sehingga Suasana sekitarJogja terlihat kemerlip oleh lampu hias kuning yang elegan. Kata ibu kost ku, Tugu Jogja Merupakan timbangan antara gunung Merapi keraton dan pantai selatan, karena keempatnya terhubung melalui satu garis lurus.",3 tahun lalu
Hastin Pratiwi,5 bintang,"Kamu pasti tahu lah yaa.. Tugu Yogya ini merupakan ikon Kota Yogyakarta yang terletak di pusat kota.

Di sekitar kawasan Tugu ada Pasar Kranggan, salah satu pasar tradisional yang cukup lengkap, terutama untuk penjualan makanan dan kue-kue lezat. Sedari dulu, Kranggan ini surganya aneka kue basah dan jajanan tradisional maupun modern.",2 tahun lalu
Agnesia Siwabessy,5 bintang,Untuk foto di tugu jogja ini harus ekstra hati-hati dikarenakan merupakan jalan yang ramai. Disana juga terdapat jasa foto dengan kisaran harga 5rb/foto yang di ambil. Ke jogja tanpa foto di tugu jogja rasanya kurang lengkap,Diedit 3 tahun lalu
Ganang Restu Bariadi,5 bintang,Tempat yang paling ikonik di Jogja. Selalu ramai oleh pengunjung apalagi di malam hari. Di pagi hari banyak orang yang berolahraga lewat tempat ini. Angkringan di sana juga banyak dan tidak terlalu mahal. Sering sekali untuk spot foto.,6 tahun lalu
Kirana Rara,5 bintang,"Tugu iconic kota Jogja atau Yogyakarta.
Dari sejarahnya dibangun oleh Sri Sultan Hamengku Buwono I (Pendiri Keraton Yogyakarta) pada tahun 1955. Untuk lebih lengkapnya googling aja 😁🤭",setahun lalu
Suhartini Tini,5 bintang,Ramah pelayanan.dan rasanya bakpianya mantap dan enak .isiannya full byk .pokoknya maknyus bakpia tugu jogya,5 bulan lalu
Novi Ana,5 bintang,"Kesana pas libur natal dan tahun baru, rame banget. Akhirnya kesampaian juga menikmati malam di tugu jogja.",2 tahun lalu
Adhitya Try Kurniantoro,5 bintang,"Jauh lebih nyaman dibanding 10 tahun yg lalu ketika masih kuliah di Jogja, lebih rapi dan bagus lagi",setahun lalu
Achmad Ropik,5 bintang,"K Jogja belum lengkap rasanya klo belum foto d sini
Hati2 kalo mau foto d sini soalnya ini perempatan
Jadi harus nunggu lampu merah dulu biar agak sedikit nyaman foto nya
Lebih baik k sini nya d atas jam 11 biar agak sepi dan jangan hari libur 😂😂 pasti rame banget",6 tahun lalu
Lala Azzahra,5 bintang,"Terakhir kali ke tugu main skuter.  Skuter nya harus reservasi cari aja di instagram skuter jogja nanti banyak kok yg muncul.  35rb/jam.  Kalo musim hujan antisipasi bawa mantol sendiri yg bening itu, kalo beli di daerah malioboro harga mantol nya 10rb.",4 tahun lalu
Aditya,5 bintang,"Tugu Yogyakarta, salah satu destinasi wisata yang harus dimasukan kedalam bucket list kunjungan Anda ketika singgah di kota Yogyakarta.

Disekitar Tugu Yogyakarta Kini berdiri beragam cafe atau restoran yang memiliki rooftop mengarah langsung ke arah tugu Yogyakarta. Jika Anda hendak menikmati Tugu Yogyakarta sambil bersantap disalah satu tempat sekitaran tugu waktu terbaiknya adalah saat sore hari, karena ketika malam lalu lintas sekitaran tugu menurut Saya jauh lebih padat dari sore hari, dan sulit untuk mendapatkan foto bagus saat malam karena banyak sekali cahaya lampu kendaraan yang berlalu lalang sehingga dapat membuat foto menjadi blur, maka dari itu Saya sarankan waktu terbaik mengunjungi tempat ini adalah ketika sore hari.

Disekitaran Tugu juga banyak hotel dari harga backpacker hingga bintang 4, lokasi ini sangat cocok digunakan sebagai tempat menginap karena lokasinya yang strategis.",6 tahun lalu
Dhayan D.,5 bintang,Lebih rapi sekarang. Cocok buat hangout sore menjelang malam ❤️❤️,2 bulan lalu
Lina Lien,5 bintang,"Tempatnya enak buat nongkrong sambil foto di tugu pahlawan jogja, rasa masakanya jg enak semua krn mayoritas masakan sendiri, pgwnya jg ramah, dan plg penting ga nguras kantong. Buat yg kbtlan ke jogja, jangan lupa mampir ke angkringan kopi joss tugu, lokasinya pas tikungan ke kiri arah ke jalan margo utomo, depan toko tas dowa dan resto honje.  😍😍",6 tahun lalu
TITIK FITRIANI,5 bintang,Sore² jalan² kesini jalan dari stasiun tugu sekitar 15-20 menit an nyampe,2 tahun lalu
Eoni Ani,5 bintang,"Tugu saat malam keren bgt sepiii,...

Akhirnya bisa juga ke tugu ini, padahal udh beberapa kali ke Jogja tapi baru kali ini bisa bertandang ke Tugu Jogja.

Cukup jauh juga jalan kaki dr Malioboro ke sini,  tapi seru.
Banyak anak² club mobil yang ngumpul di sepanjang jalan menuju Tugu Jogja ini, jd kami tdk merasa takut wlw bukan penduduk asli sana, nyaman lah...",6 tahun lalu
Delvina Savendra,5 bintang,"Ikon Jogja yang jadi tempat favorit buat banyak orang yang untuk berfoto. Disini juga sering ada pertunjukan music, atau juga pertunjukan seni lainnya. Walaupun berada ditengah tengah jalan raya, tapi karena luas , jadi masih ada tempat untuk bisa berfoto. Sangat terawat, rapi dan juga bersih walaupun berada dijalan raya. Pokoknya kalau ke Jogja wajib kesini.",6 tahun lalu
Angga Nanda 4,5 bintang,Kemarin kesini cukup rame juga yang nongkrong disini. Untuk sekali kali bolehlah nongkrong disini untuk melepas penat sambil ngopi liat kendaraan lalu lalang.,2 tahun lalu
Ratu Arum,4 bintang,"Sekarang tugunya ud bersih dari kabel kabel yang melintang ke sana kemari. Jadi kalau mau foto foto lebih cantik 🤭
Karena ud di pugar, skrg di buat ga boleh sembarang foto nempel2 di tugu nya. Tujuannya tentu biar ga merusak. Kalau mampir jogja jangan lupa foto di sini, buat kenang-kenangan.",4 tahun lalu
Bagus Fatkhurrozi (Bagus),5 bintang,Salah satu ikon kota Jogja,5 bulan lalu
Rido Junalian,5 bintang,"Iconic kota jogja,,, minggu pagi suasana masih sepi, kalo pakai motor bisa diparkir di dekat monumen...",3 tahun lalu
inra avougle,5 bintang,"Warganya sopan dan baik
Namun kadang pengunjung yg berisik",2 minggu lalu
Teddy Rac,4 bintang,"Berada di tengah persimpangan yg selalu ramai. Menjadi simbol dan penanda garis imajiner antara gunung merapi, keraton dan laut selatan, membuat tempat ini mempunyai makna filosofis yg dalam. Terdapat banyak pedagang makanan di sekitar area seperti angkringan dan cafe. Terdapat monumen di pojok perempatan ini.",7 bulan lalu
Luisa Purwaningsih,5 bintang,Pas banget bisa foto saat lalu lintas sepi gini... Jogja selalu membuat hati ingin kembali lagi dan  lagiii 💛💛 …,2 tahun lalu
Berkah Vape Garage Channel,5 bintang,Tempat yang bersejarah dan buat hati suka cita. Salam dari banten 🫰🏻❤️,sebulan lalu
Indri Kusumastuti,5 bintang,Tempat yg selalu ngangenin. Semoga tiap tahun aku bisa kesini.,sebulan lalu
adiningsih padu lemba,5 bintang,"Kesini hanya Nemani sepupu yg maen kejogja , kata org blm fix ke Jogja Klo belum ke tugu and here we go 😃",8 bulan lalu
Ahmad Muqorrobin,4 bintang,"Salah satu tujuan saat kita berkunjung ke Yogyakarta adalah Monumen Tugu, terletak di tengah-tengah jalan, monumen ini sangat banyak dikunjungi hanya sekedar untuk foto-foto saja...",6 tahun lalu
Syahrul Akbar,5 bintang,"Yah biasa lah ya, apalagi...",sebulan lalu
Bayu Ardi Roosno,5 bintang,Lokasi penuh dgn sejarah dan keramaian orang2 pemalas yg menyebalkan 🤣....,2 bulan lalu
subchan yayan bachtiar,5 bintang,"Tugu Jogja yang istimewa, Yogyakarta Indonesia. Tempat wisata yang menarik untuk dikunjungi oleh wisatawan. Tetap patuhi aturan yang berlaku di Indonesia dan dunia internasional. Protokol kesehatan wajib untuk kita lakukan",5 tahun lalu
"Issa Me, Rin",5 bintang,"Bakal jadi tempat yang asik buat jadi spot foto juga kumpul bareng temen di jogja, karena ada beberapa spot semacam angkringan, tempat makan lesehan, gelato, juga Circle K dan masih banyak lagi yang bisa dijadiin opsi buat ngemil bareng.",setahun lalu
dagung febrian,5 bintang,"Tugu iconic, malam sangat ramai.
Bagi wisatawan yang mengunjungi lokasi ini, bisa menemukan penjualan oleh oleh, coffee shop, jajanan lain di seputaran tugu.
Disarankan mengunjungi diorama tugu yang berada dekat dengan pos polisi tugu
Pada diorama tersebut menjelaskan sejarah tugu.

Bagi pengunjung, harap berhati-hati saat menyebrang, ataupun mengambil gambar, karena lalulintas di seputaran tugu cukup ramai.",setahun lalu
Michelle,5 bintang,"Tugu jogja adalah icon dari kota Yogyakarta,selain ada sejarahnya, disini juga terkenal buat nongkrong.sekarang bisa main skuter juga di jalan pinggiran sekitar tugu",4 tahun lalu
Mohammad Fikri Ulalul Hakim,4 bintang,"menikmati malam disini memang bikin ga inget waktu. suasana, hiruk pikuknya dan kenanganya.",Diedit setahun lalu
Faif Mahmudien,5 bintang,Asyik buat santai & nongki nongki.....,4 bulan lalu
Tri Wijayanti Kusuma Dewi,5 bintang,"Dulu... ada mitos kalo foto ditugu nanti kuliahnya ngga lulus. itu adalah pertama kalinya bertemu teman dari Jkt dan menjadi tour guidenya.
Alhamdulliah banyak sekali kisah baik yang aku temui di Jogja, sampai merasa bisa ngga ya aku ngga di Jogja. Jogja, salah satu kota yang mengajarkanku banyak hal. Terimakasih Jogja, aku tahu suatau hari pasti datang waktu kita untuk berpisah..",5 tahun lalu
Yani maryati,5 bintang,Belum pas kalo ke jogja kalo ga ke tugu jogja kan ya? Wkwkwkwk cuman liat doang,sebulan lalu
Lusiana Lusie,5 bintang,"Jogja Istimewa,
Sumbu filosofis
Iconic kota yogya",8 bulan lalu
Robani Alzawani,4 bintang,Tempatnya bagus namun Perlu ditertibkan kembali seperti becak dan pedagang K5 kadang sampahnya bertaburan kesana kemari.,2 tahun lalu
Gie,5 bintang,"Ikon nya kota Daerah Istimewa Yogyakarta yang sudah direnovasi, sekarang sudah tidak ada kabel2 yang berseliweran dan perbaikan pedestrian sekitar Tugu menjadi lebih bagus",5 tahun lalu
Erna Waty,5 bintang,"Tugu yg sangat iconic, apalagi dilihat saat sunrise 👍👍",setahun lalu
Rakyat Indonesia,5 bintang,Jogja sederhana tapi selalu Istimewa,4 bulan lalu
wira eka putra,5 bintang,"Seruuu, ramaai, enak buat ngopii",4 bulan lalu
calvin yudha,5 bintang,Keren tenang nyaman suasananya dapet,4 bulan lalu
Wiji Astuti,5 bintang,"Salah satu tempat paling favorit di Yogyakarta yang harus anda kunjungi terutama malam hari. Selain untuk spot foto, di sekitaran tugu banyak tempat untuk bis nongkrong hingga larut malam. Disini ga pernah sepi, cuma untuk mobil parkirnya agak susah dan menjauh. Kalo untuk motor parkir lebih mudah dan dekat sekali dengan tugunya.",6 tahun lalu
Rahmadi_981,5 bintang,Destinasi yg wajib dikunjungi saat ke kota Yogyakarta. Instagramable & cozy lokasinya ditengah kota Jogja,2 bulan lalu
vinmckinley,5 bintang,"udah bosen bgt sebenernya kesini foto mulu wkwk
cuma skrg udh dipagerin . terakhir kesana belum",setahun lalu
Renardi Aryo,4 bintang,Waktu terbaik untuk berfoto jam 2-4 sore. Sudut foto terbaik dari posisi video diambil 👍 …,2 tahun lalu
Fandi Ysr,5 bintang,Suasana tugu yogya saat  malam,6 bulan lalu
andien nino,5 bintang,Ada di sini di waktu malam menambah romantisme dg segala kisah di dalamnya,setahun lalu
Defrizal Defrizal,5 bintang,Belum ke tugu berarti blm sampe jogja...itu crita org2 yg ke jogja...skr tugu selalu rame kl malam...,6 tahun lalu
Nadia Alatas,4 bintang,"Mmg sdh lama klw ke Jogja mampir kesini

Eh koq ya pas Agustus kemaren diajakin kesini.. …",3 tahun lalu
cikdung ahmad basri,5 bintang,"Salah satu tempat nongkrong di situ, apalagi di saat mendekati senja makin adem dan cukup ramai dikunjungi org2",8 bulan lalu
siti rachimah,5 bintang,"Seneng banget, tempatnya penuh dengan kawula muda berkumpul mencari inspirasi,  nongkrongnya keluarga sambil menikmati wedang ronde khas Yogyakarta.",4 tahun lalu
gati nazeni,5 bintang,seru....,sebulan lalu
Fatma Dewi,5 bintang,ga kecewa deh panggil tukang taman surabaya untuk dirumah penataan sngt rapih best,2 bulan lalu
Arman Fernando,5 bintang,"Salah satu icon Jogja yg mampu menarik pengunjung utk datang ke jogja,mari kita jaga dan kita rawat agar jogja tetap menjadi destinasi wisata yg menarik untuk anak cucu kita nanti.bravo!",3 tahun lalu
Ika Hapsari,5 bintang,Tugu Jogja adalah landmark utama dari Yogyakarta. Kurang afdol rasanya jika ke Jogja tetapi belum melewati Tugu Jogja. Kini Tugu Jogja sudah dilakukan renovasi sehingga lebih indah dan tertata. Tidak ada lagi kabel dan tiang listrik yang …,3 tahun lalu
ripiuman,5 bintang,"salah satu tugu dan icon dari Jogja.
setelah revitalization dan penataan ulang kabel yang tadinya semrawut sekarang sudah terlihat begitu gagah tegak berdiri di perempatan jalan kota Yogyakarta.",3 tahun lalu
farida eliana,4 bintang,"Merayakan tahun baru disini, rame dan penuh sesak, tp kembang apinya keren banget. Cuma saat selesai perayaan, sampahnya duhh,, luar biasa",2 tahun lalu
Lilik Purwanto,5 bintang,Tempat nya nyaman jg aman untuk santai,4 bulan lalu
Inda Risinda,5 bintang,"Beneran apa kata orang2 lebih cantik ke Tugu di malam hari.. dihiasi warna warni dr kendaraan yg lalu lintas, suasana malam hari lebih romantiisss.. sayangnya pas tgl 11 des 2021 ke sana lagi gerimiss.. tapi bikin makin romantis manis..ahaha",4 tahun lalu
Nofa,5 bintang,Kejogja kalo ga foto tugu kurang afdol rasanya 😆 …,6 bulan lalu
Banana Kids,5 bintang,Tugu Pal Putih adalah tugu bersejarah di kota Yogyakarta. Nama aslinya adalah Tugu Golong Giling. Tugu ini dibangun pada tahun 1755 oleh Sri Sultan Hamengku Buwono I dan mengalami pembangunan kembali setelah terjadinya gempa bumi pada tahun …,4 tahun lalu
nurul hikmah,5 bintang,"Baru pertama kali ke tugu ini, nongkrong diangkringan menikmati suasana malam jogja yg cerah, masyaallah tabarakallah, warganya ramah-ramah.",2 tahun lalu
Mughits,4 bintang,"Tugu Jogja atau Pal Putih adalah sebuah tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari kota Yogyakarta.Tugu ini terletak di perempatan Jalan Jenderal Sudirman dan Jalan Margo Utomo ini, mempunyai nilai simbolis yang …",3 tahun lalu
Ara Rarara,5 bintang,"Ga tau knp seneng bgt duduk santuy dsna sambil liat kendaraan2 lewat
Love jogja",setahun lalu
