User,Teks,Waktu,Sumber,Teks_Bersih
Muh Agung Prasetya,"Mengapa algoritma shopee saya menampilkan dan merekomendasikan konten pornografi dan seksual? saya ingin algoritma yang normal saja, bukan rekomendasi pornografi dan seksual!.",3/8/2026 11:57,Shopee,mengapa algoritma shopee menampilkan merekomendasikan konten pornografi seksual ingin algoritma normal bukan rekomendasi pornografi seksual
kurnia timur,tlg tertibkan toko2 yg suka senaknya mengcancel barang2 yg sdh kita bayar. kita sdh nunggu bbrp hari eee tiba2 di cancel karena mereka mau naikin harga sangat mengecewakan,3/8/2026 11:57,Shopee,tlg tertibkan toko suka senaknya mengcancel barang sdh bayar sdh nunggu bbrp hari eee tiba cancel mau naikin harga mengecewakan
Takasi Cukong,jangan beli barang di aplikasi shopee karena karena pelayanannya kurang baik tidak ada keterangan tukang kurir paket saya udah 3 hari belum sampai-sampai ke rumah padahal saya udah bayar lewat saldo shopeepay sebesar 100000 Saya minta ganti sama pihak shopee tidak dikasih malah suruh nunggu 5 hari lagi lebih baik beli di tiktok shop Lazada atau Tokopedia jangan pernah beli di shopee beli di shopee bikin hati kayak sapi,3/8/2026 11:56,Shopee,beli barang aplikasi shopee pelayanannya kurang baik keterangan tukang kurir paket hari belum rumah padahal bayar lewat saldo shopeepay sebesar minta ganti pihak shopee dikasih malah suruh nunggu hari baik beli tiktok shop lazada tokopedia pernah beli shopee beli shopee bikin hati kayak sapi
Ahmad Bin imam,burik semua pesanan saya telat datang molor sampe 1 Minggu jakarta ke Bogor gila,3/8/2026 11:56,Shopee,burik semua pesanan telat datang molor sampe minggu jakarta bogor gila
Wildan Fahmi,"lain kali yang profesional. barang udah nunggu lama, krn salah pe jadwalan. akhirnya tidak dikirim. cuma pengembalian dana. kita ini butuh barangnya ! yang profesional !!",3/8/2026 11:56,Shopee,lain kali profesional barang nunggu lama krn salah jadwalan akhirnya dikirim cuma pengembalian dana butuh barangnya profesional
Muhamad Zacky,"EKSPEDISI MU ITU KACAUUU PENGIRIMAN DI SAYA YANG BIASA 2HARI INI MOLOR JADI 5 HARI KALO GA MAMPU BUAT HANDLE SEMUANYA SENDIRI MENDING KERJA SAMA SAMA EKSPEDISI LAIN GAUSAH SOK DAN GAUSAH NYARI UNTUNG BANYAK CUSTOMER NANTI BAKAL PADA PERGI SENDIRI KARNA UDAH GA NYAMAN MAKE NI APLIKASI SUPER LEMOT,MINIMAL BERKACA DARI TAUN KEMARIN BANYAK PAKET YANG NGE STUCK DI DC TAPI BUKANYA BERBENAH MALAH MAKIN PARAH !!!",3/8/2026 11:53,Shopee,ekspedisi kacauuu pengiriman biasa hari molor hari mampu handle semuanya sendiri mending kerja ekspedisi lain gausah sok gausah nyari untung customer nanti bakal pergi sendiri nyaman make aplikasi super lemot minimal berkaca taun kemarin paket nge stuck bukanya berbenah malah makin parah
Mislia Wati,bagus banget,3/8/2026 11:53,Shopee,bagus banget
Zulfa Zulfa,memuaskan,3/8/2026 11:51,Shopee,memuaskan
Jeremy Calvin,"Shopee emang paling oke dari yang lain Smua lbih murah,,, Mulai dari barang sampai ongkir. Terimakasih.",3/8/2026 11:50,Shopee,shopee emang paling oke lain smua lbih murah mulai barang ongkir terimakasih
Skyy Arzz,"apk ini sangat bagus kualitanya bagus barang""nya juga sangat murah dan pastinya memuaskan kalo belanja disini",3/8/2026 11:49,Shopee,apk bagus kualitanya bagus barang murah pastinya memuaskan belanja disini
AAzzam Thoriq,bagus,3/8/2026 11:48,Shopee,bagus
Effendi M nur,murah dan aman,3/8/2026 11:47,Shopee,murah aman
Azmi Nafis,keren,3/8/2026 11:47,Shopee,keren
Dwi Dio,"Sangat membantu sekali,",3/8/2026 11:46,Shopee,membantu sekali
Sani Khairunajib,mantap tingkatkan kualitasnya,3/8/2026 11:42,Shopee,mantap tingkatkan kualitasnya
Eko Priyadi,"saya edit ulasan saya...dari 100 persen saya pesan barang hampir 60 persen mengecewakan saya,banyak barang yg rusak,tdk bisa digunakan apalagi HP sangat2 merugikan saya, produk yg dikirim palsu terutama yg harga murah, seharusnya COD itu bisa di check dulu,tapi berhubung tdk ada keterangan chek dulu ya terima nasib...saya sarankan Shopee harusnya tertibkan penjual yg tukang tipu seperti ini...ada saluran barang bisa dikembalikan tapi ribetnya minta ampun... sementara saya orang yg malas ribet.",3/8/2026 11:41,Shopee,edit ulasan persen pesan barang hampir persen mengecewakan barang rusak tdk digunakan apalagi merugikan produk dikirim palsu terutama harga murah seharusnya cod check dulu berhubung tdk keterangan chek dulu terima nasib sarankan shopee harusnya tertibkan penjual tukang tipu saluran barang dikembalikan ribetnya minta ampun sementara orang malas ribet
Tegal City,"ini kenapa ya gw gak bisa nampilkan produk affiliate padahal kan gw dah daftar sebagai affiliator dan sebelum"" nya juga gw bisa kok menampilkan produknya apa ini lagi eror ya?!!",3/8/2026 11:40,Shopee,kenapa nampilkan produk affiliate padahal kan dah daftar sebagai affiliator sebelum kok menampilkan produknya eror
Ahmad Newsuk043,top,3/8/2026 11:40,Shopee,top
Nur Baiti,kagak jelas banget shopee pas iklan nya selesai pas saya main game itu gamenya keluar sendiri tiba tiba terus disuruh download shopee,3/8/2026 11:36,Shopee,kagak jelas banget shopee pas iklan selesai pas main game gamenya keluar sendiri tiba tiba disuruh download shopee
